======================================================================
      WIND TURBINE SENSOR CORRELATION REPORT     
======================================================================

--- COLLINEAR SENSOR PAIRS ---


                          Feature_1                           Feature_2  Correlation
Generator_bearing_2_temperature_max    Generator_stator_temperature_max     0.863153
Generator_bearing_2_temperature_max        Generator_stator_temperature     0.862938
       Gearbox_oil_sump_temperature     Generator_bearing_1_temperature     0.862821
   Gearbox_oil_sump_temperature_min     Generator_bearing_1_temperature     0.862613
Generator_bearing_1_temperature_max    Generator_stator_temperature_min     0.862213
      Gearbox_inlet_temperature_min     Generator_bearing_1_temperature     0.861802
    Generator_bearing_2_temperature        Generator_stator_temperature     0.861782
Generator_bearing_1_temperature_max        Generator_stator_temperature     0.861466
    Generator_bearing_2_temperature    Generator_stator_temperature_min     0.860717
Generator_bearing_2_temperature_min    Generator_stator_temperature_min     0.860685
   Gearbox_oil_sump_temperature_min Generator_bearing_2_temperature_max     0.858742
      Gearbox_bearing_2_temperature                     Rotor_speed_max     0.858376
      Gearbox_bearing_2_temperature                 Generator_speed_max     0.857839
      Gearbox_bearing_2_temperature       Generator_converter_speed_max     0.857838
  Gearbox_bearing_2_temperature_max                     Rotor_speed_max     0.857589
  Gearbox_bearing_2_temperature_max                 Generator_speed_max     0.857056
  Gearbox_bearing_2_temperature_max       Generator_converter_speed_max     0.857028
   Gearbox_oil_sump_temperature_max     Generator_bearing_1_temperature     0.855924
Generator_bearing_2_temperature_min        Generator_stator_temperature     0.855681
    Generator_bearing_1_temperature        Generator_stator_temperature     0.855660
   Gearbox_oil_sump_temperature_min Generator_bearing_1_temperature_min     0.855647
          Gearbox_inlet_temperature Generator_bearing_1_temperature_min     0.855633
    Generator_bearing_2_temperature    Generator_stator_temperature_max     0.854392
      Gearbox_inlet_temperature_max Generator_bearing_2_temperature_max     0.853318
Generator_bearing_2_temperature_min    Generator_stator_temperature_max     0.853132
       Gearbox_oil_sump_temperature Generator_bearing_2_temperature_max     0.852058
   Gearbox_oil_sump_temperature_min     Generator_bearing_2_temperature     0.851730
      Gearbox_inlet_temperature_min Generator_bearing_1_temperature_min     0.851238
      Gearbox_bearing_2_temperature                         Rotor_speed     0.850364
      Gearbox_bearing_2_temperature                     Generator_speed     0.850327
       Gearbox_oil_sump_temperature Generator_bearing_1_temperature_min     0.849953
      Gearbox_bearing_2_temperature           Generator_converter_speed     0.849933
   Gearbox_oil_sump_temperature_min Generator_bearing_2_temperature_min     0.849722
          Gearbox_inlet_temperature Generator_bearing_2_temperature_max     0.849393
    Generator_bearing_1_temperature    Generator_stator_temperature_min     0.849375
       Gearbox_oil_sump_temperature     Generator_bearing_2_temperature     0.849323
   Gearbox_oil_sump_temperature_max Generator_bearing_2_temperature_max     0.848728
          Gearbox_inlet_temperature     Generator_bearing_2_temperature     0.848528
   Gearbox_oil_sump_temperature_max Generator_bearing_1_temperature_min     0.848406
          Absolute_wind_direction_c                       Nacelle_angle     0.848165
            Absolute_wind_direction                       Nacelle_angle     0.848164
          Absolute_wind_direction_c                     Nacelle_angle_c     0.848163
            Absolute_wind_direction                     Nacelle_angle_c     0.848160
Generator_bearing_1_temperature_min    Generator_stator_temperature_min     0.847823
  Gearbox_bearing_1_temperature_max                     Rotor_speed_max     0.847727
      Gearbox_inlet_temperature_max     Generator_bearing_2_temperature     0.847586
  Gearbox_bearing_1_temperature_max       Generator_converter_speed_max     0.847288
  Gearbox_bearing_1_temperature_max                 Generator_speed_max     0.847214
    Generator_bearing_1_temperature    Generator_stator_temperature_max     0.846380
      Gearbox_inlet_temperature_min Generator_bearing_2_temperature_max     0.846302
  Gearbox_bearing_2_temperature_min                     Rotor_speed_max     0.846221
  Gearbox_bearing_2_temperature_min       Generator_converter_speed_max     0.845743
  Gearbox_bearing_2_temperature_min                 Generator_speed_max     0.845670
Generator_bearing_1_temperature_min        Generator_stator_temperature     0.845627
      Gearbox_bearing_1_temperature                     Rotor_speed_max     0.844726
      Gearbox_bearing_1_temperature       Generator_converter_speed_max     0.844329
      Gearbox_bearing_1_temperature                 Generator_speed_max     0.844221
      Gearbox_inlet_temperature_min     Generator_bearing_2_temperature     0.843583
  Gearbox_bearing_2_temperature_max                         Rotor_speed     0.843326
  Gearbox_bearing_2_temperature_max                     Generator_speed     0.843304
  Gearbox_bearing_2_temperature_max           Generator_converter_speed     0.842909
Generator_bearing_1_temperature_min    Generator_stator_temperature_max     0.842616
       Gearbox_oil_sump_temperature Generator_bearing_2_temperature_min     0.842336
      Gearbox_inlet_temperature_max Generator_bearing_2_temperature_min     0.840928
      Gearbox_bearing_1_temperature                         Pitch_angle    -0.840924
   Gearbox_oil_sump_temperature_max     Generator_bearing_2_temperature     0.840845
  Gearbox_bearing_2_temperature_min                         Rotor_speed     0.838759
   Gearbox_oil_sump_temperature_max Generator_bearing_2_temperature_min     0.838716
  Gearbox_bearing_2_temperature_min                     Generator_speed     0.838707
  Gearbox_bearing_2_temperature_min           Generator_converter_speed     0.838362
          Gearbox_inlet_temperature Generator_bearing_2_temperature_min     0.837720
      Gearbox_inlet_temperature_max    Generator_stator_temperature_max     0.837453
  Gearbox_bearing_1_temperature_max                         Pitch_angle    -0.835897
      Gearbox_inlet_temperature_min Generator_bearing_2_temperature_min     0.835831
      Gearbox_bearing_1_temperature                     Pitch_angle_min    -0.835781
      Gearbox_bearing_1_temperature                     Generator_speed     0.835328
      Gearbox_bearing_1_temperature                         Rotor_speed     0.835304
      Gearbox_bearing_1_temperature           Generator_converter_speed     0.835016
      Gearbox_inlet_temperature_max        Generator_stator_temperature     0.832923
                    Generator_speed                         Pitch_angle    -0.832601
  Gearbox_bearing_1_temperature_max                     Pitch_angle_min    -0.832324
                        Pitch_angle                         Rotor_speed    -0.832067
  Gearbox_bearing_1_temperature_max                     Generator_speed     0.831976
  Gearbox_bearing_1_temperature_max                         Rotor_speed     0.831961
          Generator_converter_speed                         Pitch_angle    -0.831801
  Gearbox_bearing_1_temperature_max           Generator_converter_speed     0.831666
                        Pitch_angle                     Rotor_speed_max    -0.830562
                Generator_speed_max                         Pitch_angle    -0.830256
      Generator_converter_speed_max                         Pitch_angle    -0.830089
  Gearbox_bearing_1_temperature_min                         Pitch_angle    -0.829892
  Gearbox_bearing_1_temperature_min                     Rotor_speed_max     0.827950
  Gearbox_bearing_1_temperature_min       Generator_converter_speed_max     0.827638
  Gearbox_bearing_1_temperature_min                 Generator_speed_max     0.827436
      Gearbox_inlet_temperature_max    Generator_stator_temperature_min     0.826752
    Generator_bearing_2_temperature             Nacelle_temperature_max     0.825849
  Gearbox_bearing_1_temperature_min                     Pitch_angle_min    -0.824758
      Gearbox_bearing_2_temperature                         Pitch_angle    -0.823903
Generator_bearing_2_temperature_min             Nacelle_temperature_max     0.823632
  Gearbox_bearing_2_temperature_max       Gearbox_inlet_temperature_max     0.821801
  Gearbox_bearing_2_temperature_max                         Pitch_angle    -0.821605
                    Pitch_angle_min                     Rotor_speed_max    -0.821334
Generator_bearing_2_temperature_max       Rotor_bearing_temperature_min     0.821221
      Gearbox_bearing_2_temperature                 Generator_speed_min     0.821156
                Generator_speed_max                     Pitch_angle_min    -0.821086
      Generator_converter_speed_max                     Pitch_angle_min    -0.820969
      Gearbox_bearing_2_temperature                     Rotor_speed_min     0.820894
      Gearbox_bearing_2_temperature       Generator_converter_speed_min     0.820467
    Generator_bearing_2_temperature           Rotor_bearing_temperature     0.820097
Generator_bearing_2_temperature_max       Rotor_bearing_temperature_max     0.819992
          Gearbox_inlet_temperature    Generator_stator_temperature_max     0.819929
Generator_bearing_2_temperature_min       Rotor_bearing_temperature_min     0.819833
          Gearbox_inlet_temperature        Generator_stator_temperature     0.819330
    Generator_bearing_2_temperature       Rotor_bearing_temperature_min     0.819221
  Gearbox_bearing_2_temperature_min                 Generator_speed_min     0.819020
Generator_bearing_2_temperature_max           Rotor_bearing_temperature     0.818845
  Gearbox_bearing_2_temperature_min                     Rotor_speed_min     0.818793
  Gearbox_bearing_1_temperature_min                     Generator_speed     0.818709
  Gearbox_bearing_1_temperature_min                         Rotor_speed     0.818687
  Gearbox_bearing_1_temperature_min           Generator_converter_speed     0.818465
  Gearbox_bearing_2_temperature_min       Generator_converter_speed_min     0.818352
Generator_bearing_2_temperature_min       Rotor_bearing_temperature_max     0.818230
      Gearbox_bearing_2_temperature       Gearbox_inlet_temperature_max     0.817820
                     Grid_frequency                  Grid_frequency_min     0.817807
    Generator_bearing_2_temperature       Rotor_bearing_temperature_max     0.817630
Generator_bearing_2_temperature_min           Rotor_bearing_temperature     0.817340
                    Generator_speed                     Pitch_angle_max    -0.816408
Generator_bearing_1_temperature_min             Nacelle_temperature_max     0.816326
                    Pitch_angle_max                         Rotor_speed    -0.815877
    Generator_bearing_1_temperature             Nacelle_temperature_max     0.815764
          Generator_converter_speed                     Pitch_angle_max    -0.815759
Generator_bearing_2_temperature_max             Nacelle_temperature_max     0.815533
      Gearbox_bearing_2_temperature                     Pitch_angle_min    -0.815115
  Gearbox_bearing_2_temperature_min       Gearbox_inlet_temperature_max     0.814718
      Gearbox_bearing_1_temperature                     Pitch_angle_max    -0.814662
  Gearbox_bearing_2_temperature_max                 Generator_speed_min     0.814271
  Gearbox_bearing_2_temperature_max                     Rotor_speed_min     0.813994
  Gearbox_bearing_2_temperature_max                     Pitch_angle_min    -0.813796
  Gearbox_bearing_2_temperature_max       Generator_converter_speed_min     0.813592
  Gearbox_bearing_2_temperature_min                         Pitch_angle    -0.813494
  Gearbox_bearing_1_temperature_max       Gearbox_inlet_temperature_max     0.812268
                      Nacelle_angle                   Nacelle_angle_min     0.811898
                    Nacelle_angle_c                   Nacelle_angle_min     0.811885
          Gearbox_inlet_temperature    Generator_stator_temperature_min     0.810296
      Gearbox_bearing_1_temperature       Gearbox_inlet_temperature_max     0.809917
  Gearbox_bearing_1_temperature_min       Gearbox_inlet_temperature_max     0.809808
  Gearbox_bearing_1_temperature_max                     Pitch_angle_max    -0.809316
Generator_bearing_1_temperature_std Generator_bearing_2_temperature_std     0.808512
      Gearbox_bearing_1_temperature                 Generator_speed_min     0.807825
      Gearbox_bearing_1_temperature                     Rotor_speed_min     0.807491
      Gearbox_bearing_1_temperature       Generator_converter_speed_min     0.807187
                      Nacelle_angle                   Nacelle_angle_max     0.806538
                    Nacelle_angle_c                   Nacelle_angle_max     0.806524
  Gearbox_bearing_1_temperature_min                     Pitch_angle_max    -0.805643
  Gearbox_bearing_2_temperature_min                     Pitch_angle_min    -0.805120
  Gearbox_bearing_1_temperature_max                 Generator_speed_min     0.804653
  Gearbox_bearing_1_temperature_max                     Rotor_speed_min     0.804333
  Gearbox_bearing_1_temperature_max       Generator_converter_speed_min     0.804026
      Gearbox_bearing_2_temperature                     Pitch_angle_max    -0.803391
                    Generator_speed                     Pitch_angle_min    -0.802504
                    Pitch_angle_max                     Rotor_speed_max    -0.802325
                    Pitch_angle_min                         Rotor_speed    -0.801996
                Generator_speed_max                     Pitch_angle_max    -0.801983
  Gearbox_bearing_1_temperature_min                 Generator_speed_min     0.801965
      Generator_converter_speed_max                     Pitch_angle_max    -0.801959
          Generator_converter_speed                     Pitch_angle_min    -0.801841
  Gearbox_bearing_1_temperature_min                     Rotor_speed_min     0.801646
  Gearbox_bearing_1_temperature_min       Generator_converter_speed_min     0.801355
  Gearbox_bearing_1_temperature_std   Gearbox_bearing_2_temperature_std     0.800830
  Gearbox_bearing_2_temperature_max                     Pitch_angle_max    -0.800761
      Gearbox_inlet_temperature_min    Generator_stator_temperature_max     0.800401
      Gearbox_inlet_temperature_min        Generator_stator_temperature     0.799643
                Generator_speed_min                     Pitch_angle_max    -0.797975
   Gearbox_oil_sump_temperature_min       Rotor_bearing_temperature_min     0.797126
      Generator_converter_speed_min                     Pitch_angle_max    -0.796932
                    Pitch_angle_max                     Rotor_speed_min    -0.796870
   Gearbox_oil_sump_temperature_min       Rotor_bearing_temperature_max     0.795967
       Gearbox_oil_sump_temperature           Rotor_bearing_temperature     0.795925
                Generator_speed_min                         Pitch_angle    -0.795158
       Gearbox_oil_sump_temperature       Rotor_bearing_temperature_min     0.794697
   Gearbox_oil_sump_temperature_min           Rotor_bearing_temperature     0.794459
                        Pitch_angle                     Rotor_speed_min    -0.794126
   Gearbox_oil_sump_temperature_max       Rotor_bearing_temperature_min     0.794094
      Generator_converter_speed_min                         Pitch_angle    -0.794003
      Gearbox_bearing_2_temperature           Gearbox_inlet_temperature     0.793942
  Gearbox_bearing_2_temperature_min                     Pitch_angle_max    -0.793729
       Gearbox_oil_sump_temperature       Rotor_bearing_temperature_max     0.793608
    Generator_bearing_2_temperature                 Nacelle_temperature     0.793464
   Gearbox_oil_sump_temperature_max       Rotor_bearing_temperature_max     0.793241
  Gearbox_bearing_2_temperature_max           Gearbox_inlet_temperature     0.793086
      Gearbox_inlet_temperature_min    Generator_stator_temperature_min     0.792898
      Gearbox_bearing_1_temperature           Gearbox_inlet_temperature     0.791776
   Gearbox_oil_sump_temperature_max           Rotor_bearing_temperature     0.791511
Generator_bearing_1_temperature_max             Nacelle_temperature_max     0.791482
  Gearbox_bearing_2_temperature_min           Gearbox_inlet_temperature     0.786943
  Gearbox_bearing_1_temperature_min           Gearbox_inlet_temperature     0.786873
  Gearbox_bearing_1_temperature_max           Gearbox_inlet_temperature     0.784991
Generator_bearing_2_temperature_min                 Nacelle_temperature     0.783947
    Generator_bearing_1_temperature                 Nacelle_temperature     0.775105
    Generator_bearing_2_temperature             Nacelle_temperature_min     0.772138
Generator_bearing_2_temperature_max                 Nacelle_temperature     0.771705
   Generator_stator_temperature_max                     Pitch_angle_min    -0.770905
Generator_bearing_2_temperature_min             Nacelle_temperature_min     0.768955
                Hub_temperature_min             Nacelle_temperature_max     0.767835
   Generator_stator_temperature_max                         Pitch_angle    -0.767047
                    Hub_temperature             Nacelle_temperature_max     0.764962
  Gearbox_bearing_1_temperature_min       Gearbox_inlet_temperature_min     0.764874
                Hub_temperature_max             Nacelle_temperature_max     0.764681
Generator_bearing_1_temperature_min                 Nacelle_temperature     0.764566
                Hub_temperature_min                 Nacelle_temperature     0.764214
                    Hub_temperature                 Nacelle_temperature     0.763954
       Generator_stator_temperature                     Pitch_angle_min    -0.761408
                Hub_temperature_max                 Nacelle_temperature     0.761329
  Gearbox_bearing_2_temperature_max       Gearbox_inlet_temperature_min     0.761254
                Nacelle_temperature             Outdoor_temperature_min     0.761071
                Nacelle_temperature                 Outdoor_temperature     0.760776
      Gearbox_bearing_1_temperature       Gearbox_inlet_temperature_min     0.760681
                Hub_temperature_min             Nacelle_temperature_min     0.760656
      Gearbox_bearing_2_temperature       Gearbox_inlet_temperature_min     0.759965
                Nacelle_temperature             Outdoor_temperature_max     0.759645
            Nacelle_temperature_max             Outdoor_temperature_min     0.759620
            Nacelle_temperature_min             Outdoor_temperature_min     0.759482
                    Hub_temperature             Nacelle_temperature_min     0.758465
            Nacelle_temperature_min             Outdoor_temperature_max     0.758350
                Hub_temperature_max             Nacelle_temperature_min     0.758286
            Nacelle_temperature_max             Outdoor_temperature_max     0.758188
    Generator_bearing_1_temperature             Nacelle_temperature_min     0.758173
  Gearbox_bearing_2_temperature_min       Gearbox_inlet_temperature_min     0.757883
            Nacelle_temperature_min                 Outdoor_temperature     0.757589
Generator_bearing_1_temperature_min             Nacelle_temperature_min     0.757487
  Gearbox_bearing_1_temperature_max       Gearbox_inlet_temperature_min     0.757209
            Nacelle_temperature_max                 Outdoor_temperature     0.757176
                Generator_speed_min                     Pitch_angle_min    -0.756581
       Generator_stator_temperature                         Pitch_angle    -0.756551
   Generator_stator_temperature_max       Rotor_bearing_temperature_min     0.756059
                    Pitch_angle_min                     Rotor_speed_min    -0.755637
   Generator_stator_temperature_max       Rotor_bearing_temperature_max     0.755591
      Generator_converter_speed_min                     Pitch_angle_min    -0.755581
Generator_bearing_2_temperature_max             Nacelle_temperature_min     0.754547
   Generator_stator_temperature_max           Rotor_bearing_temperature     0.754046
  Gearbox_bearing_2_temperature_max Generator_bearing_1_temperature_max     0.754005
